frame;step;year;particles;ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;avg_speed;angular_momentum_norm;frame_file
1;0;0.000000;1200;4;2.04199520e+03;-7.58153017e+03;-5.53953497e+03;0.000000;0.53867627;102.046022;41.446265;0.07837397;1.59783821e+06;galaxy_final_beauty_output\frames_direct\frame_0000.png
2;40;1000.000000;1200;4;3.38349102e+03;-8.92262203e+03;-5.53913101e+03;0.007292;0.75840734;99.598963;33.001163;0.10145661;1.59763298e+06;galaxy_final_beauty_output\frames_direct\frame_0001.png
3;80;2000.000000;1200;4;3.33435436e+03;-8.87540562e+03;-5.54105126e+03;-0.027372;0.75136946;88.987149;31.264835;0.10114192;1.59620141e+06;galaxy_final_beauty_output\frames_direct\frame_0002.png
4;120;3000.000000;1200;4;3.36929422e+03;-8.90185110e+03;-5.53255689e+03;0.125969;0.75698732;88.903214;31.679302;0.10118314;1.59375500e+06;galaxy_final_beauty_output\frames_direct\frame_0003.png
5;160;4000.000000;1200;4;3.31957216e+03;-8.87630290e+03;-5.55673074e+03;-0.310419;0.74796279;113.240654;35.072094;0.09934681;1.59170916e+06;galaxy_final_beauty_output\frames_direct\frame_0004.png
6;200;5000.000000;1200;4;3.10210910e+03;-8.66396538e+03;-5.56185628e+03;-0.402946;0.71609453;147.239555;38.760880;0.09540065;1.59083050e+06;galaxy_final_beauty_output\frames_direct\frame_0005.png
7;240;6000.000000;1200;4;3.09281590e+03;-8.65832558e+03;-5.56550968e+03;-0.468897;0.71441432;187.783420;40.817694;0.09457089;1.59021226e+06;galaxy_final_beauty_output\frames_direct\frame_0006.png
8;280;7000.000000;1200;4;2.98886230e+03;-8.56175426e+03;-5.57289196e+03;-0.602162;0.69818923;227.917398;41.719197;0.09281535;1.58881210e+06;galaxy_final_beauty_output\frames_direct\frame_0007.png
9;320;8000.000000;1200;4;3.11397375e+03;-8.70560699e+03;-5.59163324e+03;-0.940481;0.71539498;262.457922;41.149158;0.09508395;1.58790020e+06;galaxy_final_beauty_output\frames_direct\frame_0008.png
10;360;9000.000000;1200;4;3.11027203e+03;-8.69867771e+03;-5.58840568e+03;-0.882217;0.71511375;292.141461;41.452847;0.09475775;1.58676928e+06;galaxy_final_beauty_output\frames_direct\frame_0009.png
11;400;10000.000000;1200;4;3.17696908e+03;-8.78430989e+03;-5.60734081e+03;-1.224035;0.72332810;318.259238;40.958405;0.09593827;1.58652118e+06;galaxy_final_beauty_output\frames_direct\frame_0010.png
