machine;test_id;test_kind;particles;mpi_ranks;repeat;years;dt;mode;status;returncode;external_wall_seconds;output_dir;python;os_cpu_count
Cacete;benchmark_N500_P1_R1;benchmark;500;1;1;1000.0;25.0;benchmark;ok;0;1.760044;results\Cacete\benchmark_N500_P1_R1;3.8.20;8
Cacete;benchmark_N500_P1_R2;benchmark;500;1;2;1000.0;25.0;benchmark;ok;0;1.837344;results\Cacete\benchmark_N500_P1_R2;3.8.20;8
Cacete;benchmark_N500_P2_R1;benchmark;500;2;1;1000.0;25.0;benchmark;ok;0;1.331155;results\Cacete\benchmark_N500_P2_R1;3.8.20;8
Cacete;benchmark_N500_P2_R2;benchmark;500;2;2;1000.0;25.0;benchmark;ok;0;1.302091;results\Cacete\benchmark_N500_P2_R2;3.8.20;8
Cacete;benchmark_N500_P4_R1;benchmark;500;4;1;1000.0;25.0;benchmark;ok;0;1.115989;results\Cacete\benchmark_N500_P4_R1;3.8.20;8
Cacete;benchmark_N500_P4_R2;benchmark;500;4;2;1000.0;25.0;benchmark;ok;0;1.137228;results\Cacete\benchmark_N500_P4_R2;3.8.20;8
Cacete;benchmark_N1000_P1_R1;benchmark;1000;1;1;1000.0;25.0;benchmark;ok;0;7.295655;results\Cacete\benchmark_N1000_P1_R1;3.8.20;8
Cacete;benchmark_N1000_P1_R2;benchmark;1000;1;2;1000.0;25.0;benchmark;ok;0;7.328904;results\Cacete\benchmark_N1000_P1_R2;3.8.20;8
Cacete;benchmark_N1000_P2_R1;benchmark;1000;2;1;1000.0;25.0;benchmark;ok;0;3.096893;results\Cacete\benchmark_N1000_P2_R1;3.8.20;8
Cacete;benchmark_N1000_P2_R2;benchmark;1000;2;2;1000.0;25.0;benchmark;ok;0;2.984350;results\Cacete\benchmark_N1000_P2_R2;3.8.20;8
Cacete;benchmark_N1000_P4_R1;benchmark;1000;4;1;1000.0;25.0;benchmark;ok;0;2.012714;results\Cacete\benchmark_N1000_P4_R1;3.8.20;8
Cacete;benchmark_N1000_P4_R2;benchmark;1000;4;2;1000.0;25.0;benchmark;ok;0;1.982096;results\Cacete\benchmark_N1000_P4_R2;3.8.20;8
Cacete;benchmark_N1500_P1_R1;benchmark;1500;1;1;1000.0;25.0;benchmark;ok;0;16.562541;results\Cacete\benchmark_N1500_P1_R1;3.8.20;8
Cacete;benchmark_N1500_P1_R2;benchmark;1500;1;2;1000.0;25.0;benchmark;ok;0;18.142879;results\Cacete\benchmark_N1500_P1_R2;3.8.20;8
Cacete;benchmark_N1500_P2_R1;benchmark;1500;2;1;1000.0;25.0;benchmark;ok;0;8.074334;results\Cacete\benchmark_N1500_P2_R1;3.8.20;8
Cacete;benchmark_N1500_P2_R2;benchmark;1500;2;2;1000.0;25.0;benchmark;ok;0;8.246570;results\Cacete\benchmark_N1500_P2_R2;3.8.20;8
Cacete;benchmark_N1500_P4_R1;benchmark;1500;4;1;1000.0;25.0;benchmark;ok;0;3.858021;results\Cacete\benchmark_N1500_P4_R1;3.8.20;8
Cacete;benchmark_N1500_P4_R2;benchmark;1500;4;2;1000.0;25.0;benchmark;ok;0;3.924879;results\Cacete\benchmark_N1500_P4_R2;3.8.20;8
Cacete;benchmark_N2000_P1_R1;benchmark;2000;1;1;1000.0;25.0;benchmark;ok;0;3503.256040;results\Cacete\benchmark_N2000_P1_R1;3.8.20;8
Cacete;benchmark_N2000_P1_R2;benchmark;2000;1;2;1000.0;25.0;benchmark;ok;0;34.719070;results\Cacete\benchmark_N2000_P1_R2;3.8.20;8
Cacete;benchmark_N2000_P2_R1;benchmark;2000;2;1;1000.0;25.0;benchmark;ok;0;16.098863;results\Cacete\benchmark_N2000_P2_R1;3.8.20;8
Cacete;benchmark_N2000_P2_R2;benchmark;2000;2;2;1000.0;25.0;benchmark;ok;0;16.952221;results\Cacete\benchmark_N2000_P2_R2;3.8.20;8
Cacete;benchmark_N2000_P4_R1;benchmark;2000;4;1;1000.0;25.0;benchmark;ok;0;8.411121;results\Cacete\benchmark_N2000_P4_R1;3.8.20;8
Cacete;benchmark_N2000_P4_R2;benchmark;2000;4;2;1000.0;25.0;benchmark;ok;0;8.163027;results\Cacete\benchmark_N2000_P4_R2;3.8.20;8
Cacete;plot_no_gif_N1000_P4_R1;plot_no_gif;1000;4;1;1000.0;25.0;custom;ok;0;3.540558;results\Cacete\plot_no_gif_N1000_P4_R1;3.8.20;8
Cacete;plot_no_gif_N1000_P4_R2;plot_no_gif;1000;4;2;1000.0;25.0;custom;ok;0;3.744977;results\Cacete\plot_no_gif_N1000_P4_R2;3.8.20;8
